Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od działalności gospodarczej osób fizycznych, opłacany w formie karty podatkowej";"";"zł";;;35938,35;46399,37;39000,33;43180,30;45102,80;34211,58;35698,83;28822,87;34474,52;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";16533104,38;17004213,65;17902595,46;18734131,94;19814292,90;20617467,09;20885896,83;20512900,07;20776470,35;22033098,58;23083422,76;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"udziały w podatkach stanowiących dochody budżetu państwa razem";"";"zł";16886984,97;19601809,80;21338821,89;21168604,00;23244879,36;25020441,34;26417901,26;30456042,04;35097830,91;43438906,20;41895288,51;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";16171367,00;18711050,00;20025034,00;20095446,00;22081250,00;24127634,00;25103177,00;29026973,00;31848850,00;37195039,00;36062340,00;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"zł";715617,97;890759,80;1313787,89;1073158,00;1163629,36;892807,34;1314724,26;1429069,04;3248980,91;6243867,20;5832948,51;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"wpływy z opłaty skarbowej";"";"zł";553498,90;527408,48;460627,91;499015,93;507931,43;387316,62;386668,03;379502,76;383534,78;417430,65;396702,05;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"wpływy z usług";"";"zł";1345297,58;1437090,39;1259989,80;1172079,34;976888,14;1061986,38;960631,00;1189876,56;1242812,55;1308284,63;828671,76;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"wpływy z opłaty targowej";"";"zł";;;33129,00;37442,00;30429,00;28689,00;31841,00;20915,00;18735,00;12220,00;4464,00;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"wpływy z innych lokalnych opłat pobieranych przez jednostki samorządu terytorialnego na podstawie odrębnych ustaw";"";"zł";452497,93;441430,30;570149,93;1882449,88;3246039,56;3173345,13;3096785,68;3671311,92;3808419,97;5049908,67;8421154,98;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody z majątku";"";"zł";7729486,75;5861812,07;5819926,80;5976743,10;6578450,59;9016913,60;6169302,65;9333481,95;12798887,23;7866373,22;8638149,83;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody z majątku - dochody z najmu i dzierżawy składników majątkowych JST oraz innych umów o podobnym charakterze";"";"zł";4185079,99;4400548,91;4308629,98;4340240,85;5062703,42;5237290,99;5496688,76;5804712,40;4800694,79;4916572,07;4763591,38;;
